Journal Name,Journal Absract
ACM COMPUTING SURVEYS,"The primary purposes of the ACM Computing Surveys are to present new specialties and help practitioners and researchers stay abreast of all areas in the rapidly evolving field of computing. Computing Surveys focuses on integrating and adding understanding to the existing literature. This is accomplished by publishing surveys, tutorials, and symposia on special topics of interest to the membership of ACM."
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,"The Journal of Emerging Technologies in Computing Systems invites submissions of original technical papers describing research and development in emerging technologies in computing systems. Major economic and technical challenges are expected to impede the continued scaling of semiconductor devices. This has resulted in the search for alternate mechanical, biological/biochemical, nanoscale electronic, asynchronous and quantum computing and sensor technologies. As the underlying nanotechnologies continue to evolve in the labs of chemists, physicists, and biologists, it has become imperative for computer scientists and engineers to translate the potential of the basic building blocks (analogous to the transistor) emerging from these labs into information systems. Their design will face multiple challenges ranging from the inherent (un)reliability due to the self-assembly nature of the fabrication processes for nanotechnologies, from the complexity due to the sheer volume of nanodevices that will have to be integrated for complex functionality, and from the need to integrate these new nanotechnologies with silicon devices in the same system.

The journal provides comprehensive coverage of innovative work in the specification, design analysis, simulation, verification, testing, and evaluation of computing systems constructed out of emerging technologies and advanced semiconductors. Topics include, but are not limited to:

Logic Primitive Design and Synthesis
how to design computational logic primitives from the new nanotechnologies and design tools supporting their effective design and verification
System-Level Specification, Design and Synthesis
how to interconnect these computational primitives to build complete information systems, and design tools for specifying, synthesizing, and verifying such systems
Software-Level Specification, Design and Synthesis
how to develop the necessary software so that applications can be effectively mapped onto information systems implemented using these new nanotechnologies, and tools for generating and verifying the software
Mixed-Technology Systems
how to interface across potentially hybrid nanotechnologies that may co-exist 
in the same information system
Interactions of Emerging Technologies and Applications
how to develop software/hardware for emerging technologies/applications such as neuromorphic computing and machine learning, system security/privacy, etc."
ACM TRANSACTIONS ON ALGORITHMS,"ACM Transactions on Algorithms welcomes submissions of original research of the highest quality dealing with algorithms that are inherently discrete and finite, and having mathematical content in a natural way, either in the objective or in the analysis. Most welcome are new algorithms and data structures, new and improved analyses, and complexity results. Specific areas of computation covered by the journal include - combinatorial searches and objects; - counting; - discrete optimization and approximation; - randomization; - parallel and distributed computation; - algorithms - discrete algorithms for application areas such as"
ACM TRANSACTIONS ON APPLIED PERCEPTION,"A current trend in the field of computer science is the assimilation of results from other disciplines. In particular, there is a move towards the application of breakthroughs from the field of experimental psychology. The purpose of ACM Transactions on Applied Perception is to further the development of inter-disciplinary research that crosses the boundaries between perception and computer science disciplines such as graphics, vision, acoustics and haptics. The scope of this journal includes applications and algorithms in any of these fields that incorporate elements of perception."
ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,"The ACM Transactions on Architecture and Code Optimization focuses on hardware, software, and system research spanning the fields of computer architecture and code optimization. Articles that appear in TACO present new techniques and concepts or report on experiences and experiments with actual systems. Insights useful to architects, hardware or software developers, designers, builders, and are emphasized."
ACM TRANSACTIONS ON COMPUTER SYSTEMS,"The purpose of ACM Transactions on Computer Systems is to present research and development results on the design, specification, realization, behavior, and use of computer systems. The term ""computer systems"" is interpreted broadly and includes systems architectures, operating systems, distributed systems, and computer networks. Articles that appear in TOCS will tend either to present new techniques and concepts or to report on experiences and experiments with actual systems. Insights useful to system designers, builders, and users will be emphasized."
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,"This ACM Transaction seeks to be the premier archival journal in the multidisciplinary field of human-computer interaction. Since its first issue in March 1994, it has presented work of the highest scientific quality that contributes to the practice in the present and future. The primary emphasis is on results of broad application, but the journal considers original work focused on specific domains, on special requirements, on ethical issues -- the full range of design, development, and use of interactive systems."
ACM TRANSACTIONS ON COMPUTING EDUCATION,"CCF Transactions on Pervasive Computing and Interaction (CCF TPCI) is dedicated to publishing rigorously peer-reviewed, high-quality scientific articles covering all aspects of human-computer interaction and pervasive/ubiquitous computing.  Computing technology is becoming increasingly pervasive, and enables more advanced interactions among humans, machines, and the environment.  To foster the developments in the area, CCF TPCI provides a publication and communication platform and welcomes contributions from researchers, professionals, and industrial practitioners. This journal is published on behalf of the China Computer Federation (CCF), and it is powered by the CCF technical committees on Pervasive Computing and Human Computer Interaction. Specific areas of interest include, but are not limited to:
Pervasive Computing

?         Crowd sensing and computation

?         Opportunistic networking and sensing

?         Psychological sensing

?         Mobile sensing

?         Mobile social networking

?         Mobile and wearable computing systems and services

?         Wireless sensors networks and RFID technologies

?         Positioning and tracking technologies

?         Context modeling and context-aware computing

?         Activity recognition

?         Internet of Things

?         Pervasive computing applications, such as smart home, healthcare, smart city

 

Human-Computer Interaction

?         Intelligent user interface

?         Interaction techniques, devices, and modalities

?         Interface design processes and tools

?         Brain-machine interaction

?         Interaction theories and models

?         Innovative interaction approaches

?         User experience and usability

?         Games and play

?         Virtual reality

?         Human robot interaction

?         Understanding people: theory, concepts, methods

?         Specific application areas

 

Human-Machine Systems

?         Human-machine systems

?         Cyber-physical-social systems

?         Human-machine collaboration

?         Trust, security, and privacy

?         Data mining for human-machine intelligence"
ACM TRANSACTIONS ON DATABASE SYSTEMS,"The existence of TODS has helped to define the field of database research. It encompasses the development, formalization, and validation of abstractions and models to describe database applications and the design and implementation methods for organizing and processing data on computer hardware. TODS welcomes papers on a full range of database research in the management of diverse forms of data. Such subjects include: data modeling, database languages, database theory, query processing, access methods and indexing, security and privacy, transaction management, fault tolerance, distribution, performance, data storage, data mining, and novel applications and infrastructures exploiting database technology."
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,"The Transactions on Design Automation of Electronic Systems (TODAES) is part of the family of journals produced by the ACM. The TODAES editorial board invites submission of technical papers describing recent results of research and development efforts in the area of design automation of electronic systems. The journal intends to provide a comprehensive coverage of innovative works concerning the specification, design, analysis, simulation, testing, and evaluation of very large scale integrated electronic systems, emphasizing a computer science/engineering orientation."
